Object,Entry Time,Exit Time
cell phone,2024-11-24 10:11:01,IN PROGRESS
cell phone,2024-11-24 10:11:01,2024-11-24 10:11:02
cell phone,2024-11-24 10:11:03,IN PROGRESS
cell phone,2024-11-24 10:11:03,2024-11-24 10:11:03
cell phone,2024-11-24 10:11:04,IN PROGRESS
cell phone,2024-11-24 10:11:04,2024-11-24 10:11:07
cell phone,2024-11-24 10:11:07,IN PROGRESS
cell phone,2024-11-24 10:11:07,2024-11-24 10:11:07
cell phone,2024-11-24 10:11:08,IN PROGRESS
cell phone,2024-11-24 10:11:08,2024-11-24 10:11:11
cell phone,2024-11-24 10:11:11,IN PROGRESS
cell phone,2024-11-24 10:11:11,2024-11-24 10:11:12
cell phone,2024-11-24 10:11:12,IN PROGRESS
dog,2024-11-24 10:11:13,IN PROGRESS
dog,2024-11-24 10:11:13,2024-11-24 10:11:13
dog,2024-11-24 10:11:14,IN PROGRESS
dog,2024-11-24 10:11:14,2024-11-24 10:11:14
cell phone,2024-11-24 10:11:12,2024-11-24 10:11:16
cell phone,2024-11-24 10:11:16,IN PROGRESS
cell phone,2024-11-24 10:11:16,2024-11-24 10:11:23
cell phone,2024-11-24 10:11:23,IN PROGRESS
pizza,2024-11-24 10:11:25,IN PROGRESS
pizza,2024-11-24 10:11:25,2024-11-24 10:11:25
